medicine_reference_id,dpri_id,source_drug_name,generic_name_guess,active_ingredients_guess,strength_text_guess,dosage_form_guess,route_hint,brand_name,manufacturer,barcode_gtin,philippine_fda_cpr_number,fda_registration_status,fda_verified_at,rxnorm_rxcui,dailymed_setid,openfda_spl_id,common_uses,indications,purpose,warnings,side_effects,contraindications,drug_interactions,storage_instructions,lowest_price_php,median_price_php,highest_price_php,country,source_year,source_page,source_document,source_urls,dataset_status,safety_notes,last_updated
DPRI2025-0011,11,Albendazole 400 mg Chewable Tablet,Albendazole,Albendazole,400 mg,Chewable Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,4.85,6.93,9.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0012,12,"Albumin, Human 20%, 50 mL Solution for Injection Bottle","Albumin, Human","Albumin, Human",20%; 50 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,1600.00,1957.50,3700.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0013,13,"Albumin, Human 25%, 50 mL Solution for Injection Bottle","Albumin, Human","Albumin, Human",25%; 50 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,1999.00,2669.35,3838.13,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0014,14,Alendronate 70 mg Tablet,Alendronate,Alendronate,70 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,99.00,120.00,135.85,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0015,15,All-in-one Admixtures 1000 Kcal,All-in-one Admixtures,All-in-one Admixtures,1000 Kcal,,,,,,,Needs Manual Check,,,,,,,,,,,,,1600.00,2247.00,2515.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0016,16,All-in-one Admixtures 1300 Kcal,All-in-one Admixtures,All-in-one Admixtures,1300 Kcal,,,,,,,Needs Manual Check,,,,,,,,,,,,,2354.90,2577.45,2800.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0017,17,All-in-one Admixtures 1400 Kcal,All-in-one Admixtures,All-in-one Admixtures,1400 Kcal,,,,,,,Needs Manual Check,,,,,,,,,,,,,1595.00,1920.00,3300.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0018,18,All-in-one Admixtures 1900 Kcal,All-in-one Admixtures,All-in-one Admixtures,1900 Kcal,,,,,,,Needs Manual Check,,,,,,,,,,,,,1900.00,2440.00,2980.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0019,19,Allopurinol 100 mg Tablet,Allopurinol,Allopurinol,100 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,0.60,1.36,4.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0020,20,Allopurinol 300 mg Tablet,Allopurinol,Allopurinol,300 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,1.57,2.80,7.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0021,21,Alprazolam 500 mcg Tablet,Alprazolam,Alprazolam,500 mcg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,8.00,15.00,17.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0022,22,Aluminum Hydroxide + Magnesium Hydroxide 200 mg + 100 mg Tablet,Aluminum Hydroxide + Magnesium Hydroxide,Aluminum Hydroxide + Magnesium Hydroxide,200 mg; 100 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,0.64,1.23,14.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0023,23,"Aluminum Hydroxide + Magnesium Hydroxide 225 mg + 200 mg/5 mL, 120 mL Oral Suspension Bottle",Aluminum Hydroxide + Magnesium Hydroxide,Aluminum Hydroxide + Magnesium Hydroxide,225 mg; 200 mg/5 mL; 120 mL,Oral Suspension,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,28.00,42.80,62.00,Philippines,2025,1,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0024,24,"Aluminum Hydroxide + Magnesium Hydroxide 225 mg + 200 mg/5 mL, 60 mL Oral Suspension Bottle",Aluminum Hydroxide + Magnesium Hydroxide,Aluminum Hydroxide + Magnesium Hydroxide,225 mg; 200 mg/5 mL; 60 mL,Oral Suspension,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,22.00,29.98,70.00,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0025,25,"Amikacin 125 mg/mL, 2 mL Solution for Injection Ampule",Amikacin,Amikacin,125 mg; 2 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,22.45,24.07,73.83,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0026,26,"Amikacin 125 mg/mL, 2 mL Solution for Injection Vial",Amikacin,Amikacin,125 mg; 2 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,21.25,23.45,55.00,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0027,27,"Amikacin 250 mg/mL, 2 mL Solution for Injection Ampule",Amikacin,Amikacin,250 mg; 2 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,27.89,29.89,96.80,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0028,28,"Amikacin 250 mg/mL, 2 mL Solution for Injection Vial",Amikacin,Amikacin,250 mg; 2 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,25.77,31.69,97.88,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0029,29,"Amikacin 50 mg/mL, 2 mL Solution for Injection Ampule",Amikacin,Amikacin,50 mg; 2 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,35.88,41.38,46.88,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0030,30,"Amikacin 50 mg/mL, 2 mL Solution for Injection Vial",Amikacin,Amikacin,50 mg; 2 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,19.44,35.89,48.00,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0031,31,"Amino Acid + Glucose + Electrolytes + Vitamin B1, 1000 mL Solution for Injection",Amino Acid + Glucose + Electrolytes + Vitamin B1,Amino Acid + Glucose + Electrolytes + Vitamin B1,1000 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,923.40,1157.20,1386.00,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0032,32,"Amino Acid + Glucose + Electrolytes + Vitamin B1, 500 mL Solution for Injection",Amino Acid + Glucose + Electrolytes + Vitamin B1,Amino Acid + Glucose + Electrolytes + Vitamin B1,500 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,620.40,842.00,842.00,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0033,33,"Amino Acids, Crystalline Standard 6%, 100 mL Solution for Injection Bottle","Amino Acids, Crystalline Standard","Amino Acids, Crystalline Standard",6%; 100 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,360.00,450.00,995.00,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0034,34,"Amino Acids, Crystalline Standard 7%, 500 mL Solution for Injection Bottle","Amino Acids, Crystalline Standard","Amino Acids, Crystalline Standard",7%; 500 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,368.00,500.00,800.00,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0035,35,"Amino Acids, Crystalline Standard 8%, 500 mL Solution for Injection Bottle","Amino Acids, Crystalline Standard","Amino Acids, Crystalline Standard",8%; 500 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,506.00,672.83,1056.00,Philippines,2025,2,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
